scenario,search_location,hotel_name,stars_clean,district,address,room_class,room_type,bed_class,bed_type,rooms,final_price,original_price,discount_percent,rating_clean,review_count,location_clean,distance_km,free_cancel_bool,breakfast_bool,badge_clean,adults,children,total_guests,check_in
Random_2A_0C_1R,Ho Chi Minh,Nicecy Daily - Bến Thành Market,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Standard/Superior,Phòng Superior Có Giường Cỡ King,Double/Large,Phòng Superior Có Giường Cỡ King,1,1315743,1879633,30,10,3,10,0.9,1,0,Ưu Đãi Cuối Năm,2,0,2,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,Nicecy Daily - Bến Thành Market,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe cho 3 Người,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",1,2013228,2876040,30,10,3,10,0.9,1,0,Ưu Đãi Cuối Năm,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,Nicecy Daily - Bến Thành Market,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Standard/Superior,Phòng Superior Có Giường Cỡ King,Double/Large,Phòng Superior Có Giường Cỡ King,1,2631486,3759266,30,10,3,10,0.9,1,0,Ưu Đãi Cuối Năm,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,Nicecy Daily - Bến Thành Market,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Standard/Superior,Phòng Superior Có Giường Cỡ King,Double/Large,Phòng Superior Có Giường Cỡ King,2,3328971,4755673,30,10,3,10,0.9,1,0,Ưu Đãi Cuối Năm,5,0,5,12/23/2025
Random_5A_0C_3R,Ho Chi Minh,Nicecy Daily - Bến Thành Market,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi lớn,3,3982529,5689328,30,10,3,10,0.9,1,0,Ưu Đãi Cuối Năm,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,Nicecy Daily - Bến Thành Market,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi lớn,3,4132645,5903779,30,10,3,10,0.9,1,0,Ưu Đãi Cuối Năm,6,0,6,12/23/2025
Random_1A_0C_1R,Ho Chi Minh,Nicecy Daily - Bui Vien Walking Street,3,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng Tiêu Chuẩn Giường Đôi,Double/Large,Phòng Tiêu Chuẩn Giường Đôi,1,411742,1328200,69,7.3,939,,1.1,1,0,Ưu Đãi Trong Thời Gian Có Hạn,1,0,1,12/23/2025
Random_2A_0C_1R,Ho Chi Minh,Nicecy Daily - Bui Vien Walking Street,3,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng Tiêu Chuẩn Giường Đôi,Double/Large,Phòng Tiêu Chuẩn Giường Đôi,1,474672,1531200,69,7.3,939,,1.1,1,0,Ưu Đãi Trong Thời Gian Có Hạn,2,0,2,12/23/2025
Random_4A_0C_2R,Ho Chi Minh,Nicecy Daily - Bui Vien Walking Street,3,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng Tiêu Chuẩn Giường Đôi,Double/Large,Phòng Tiêu Chuẩn Giường Đôi,2,823484,2656400,69,7.3,939,,1.1,1,0,Ưu Đãi Trong Thời Gian Có Hạn,4,0,4,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,Nicecy Daily - Bui Vien Walking Street,3,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Family/Large,Phòng Deluxe Gia đình,Double/Large,2 giường đôi lớn,1,966604,3118077,69,7.3,939,,1.1,1,0,Ưu Đãi Trong Thời Gian Có Hạn,3,0,3,12/23/2025
Random_5A_0C_3R,Ho Chi Minh,Nicecy Daily - Bui Vien Walking Street,3,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng Superior Có Giường Cỡ King,Double/Large,Phòng Superior Có Giường Cỡ King,3,1321890,4264160,69,7.3,939,,1.1,1,0,Ưu Đãi Trong Thời Gian Có Hạn,5,0,5,12/23/2025
Random_4A_2C_2R_Ages(9_7),Ho Chi Minh,Nicecy Daily - Bui Vien Walking Street,3,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng Tiêu Chuẩn Giường Đôi,Double/Large,Phòng Tiêu Chuẩn Giường Đôi,2,1378346,4446277,69,7.3,939,,1.1,1,0,Ưu Đãi Trong Thời Gian Có Hạn,4,2,6,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,Nicecy Daily - Bui Vien Walking Street,3,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng Tiêu Chuẩn Giường Đôi,Double/Large,Phòng Tiêu Chuẩn Giường Đôi,2,1441276,4649277,69,7.3,939,,1.1,1,0,Ưu Đãi Trong Thời Gian Có Hạn,5,0,5,12/23/2025
