scenario,search_location,hotel_name,stars_clean,district,address,room_class,room_type,bed_class,bed_type,rooms,final_price,original_price,discount_percent,rating_clean,review_count,location_clean,distance_km,free_cancel_bool,breakfast_bool,badge_clean,adults,children,total_guests,check_in
Random_3A_0C_1R,Ho Chi Minh,*BOM HOMES* VINHOMES CENTRAL PARK- LUXURY APARTMENT,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,"2 giường (1 giường đôi rất lớn, 1 giường sofa)",1,1350000,1350000,0,1.2,4,,3,0,0,No Deal,3,0,3,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,*BOM HOMES* VINHOMES CENTRAL PARK- LUXURY APARTMENT,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (1 giường đôi rất lớn, 1 giường sofa, 1 giường đôi lớn)",2,1710000,1710000,0,1.2,4,,3,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,*BOM HOMES* VINHOMES CENTRAL PARK- LUXURY APARTMENT,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"4 giường (2 giường đôi rất lớn, 1 giường sofa, 1 giường đôi lớn)",3,2520000,2520000,0,1.2,4,,3,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,*BOM HOMES* VINHOMES CENTRAL PARK- LUXURY APARTMENT,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,"2 giường (1 giường đôi rất lớn, 1 giường sofa)",4,3060000,3060000,0,1.2,4,,3,0,0,No Deal,6,1,7,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,1 Phòng ngủ Vinhome Cetral Park,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,2 giường đôi lớn,1,4000000,4000000,0,1,1,,3,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Vung Tau,1103 - Tháp Tam Thắng Vũng Tàu,4,Vung Tau,Vũng Tàu,Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"6 giường (2 giường đôi rất lớn, 4 nệm futon)",2,720000,720000,0,4,2,,1.5,0,1,No Deal,5,0,5,12/23/2025
Random_6A_1C_4R_Ages(7),Vung Tau,"12 Trần Phú, Bãi Trước",0,Vung Tau,Vũng Tàu,Presidential/Suite,Biệt Thự Có Hồ Bơi Riêng,Double/Large,"9 giường (7 giường đôi rất lớn, 2 giường sofa)",4,10000000,10000000,0,,,,2.2,0,0,No Deal,6,1,7,12/23/2025
Random_1A_0C_1R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ Studio,Double/Large,"2 giường (1 giường đôi rất lớn, 1 nệm futon)",1,1129950,1129950,0,5.7,30,,1.3,0,0,No Deal,1,0,1,12/23/2025
Random_2A_0C_1R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ Studio,Double/Large,"2 giường (1 giường đôi rất lớn, 1 nệm futon)",1,1255500,1255500,0,5.7,30,,1.3,0,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ Studio,Double/Large,"2 giường (1 giường đôi rất lớn, 1 nệm futon)",1,1743750,1743750,0,5.7,30,,1.3,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",1,2250000,2250000,0,5.7,30,,1.3,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",2,2700000,2700000,0,5.7,30,,1.3,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",3,3037500,3037500,0,5.7,30,,1.3,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"5 giường (2 giường đôi rất lớn, 1 giường đôi lớn, 2 nệm futon)",4,4036500,4036500,0,5.7,30,,1.3,0,0,No Deal,6,1,7,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,"123 Apartment - Steps to Market, Bus & Metro",0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,2 giường đôi lớn,1,1200000,1200000,0,7.2,4,,1,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,"123 Apartment - Steps to Market, Bus & Metro",0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,2 giường đôi lớn,1,1250000,1250000,0,7.2,4,,1,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,"123 Apartment - Steps to Market, Bus & Metro",0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,2 giường đôi lớn,2,1350000,1350000,0,7.2,4,,1,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,"123 Apartment - Steps to Market, Bus & Metro",0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"4 giường (2 giường đôi rất lớn, 2 nệm futon)",3,2025000,2025000,0,7.2,4,,1,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,"123 Apartment - Steps to Market, Bus & Metro",0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"6 giường (3 giường đôi rất lớn, 1 giường sofa, 2 nệm futon)",4,2860000,2860000,0,7.2,4,,1,0,0,No Deal,6,1,7,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,123 Apartment in Soho Residence - Airport pickup & Tours,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ Studio,Double/Large,"2 giường (1 giường đôi rất lớn, 1 giường sofa)",1,1800000,1800000,0,4,3,,1.5,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,123 Apartment in Soho Residence - Airport pickup & Tours,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",1,2300000,2300000,0,4,3,,1.5,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,123 Apartment in Soho Residence - Airport pickup & Tours,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",2,2760000,2760000,0,4,3,,1.5,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,123 Apartment in Soho Residence - Airport pickup & Tours,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"5 giường (3 giường đôi rất lớn, 2 nệm futon)",3,2900000,2900000,0,4,3,,1.5,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,123 Apartment in Soho Residence - Airport pickup & Tours,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"5 giường (3 giường đôi rất lớn, 2 nệm futon)",4,3335000,3335000,0,4,3,,1.5,0,0,No Deal,6,1,7,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,123 Apartment in Vinhomes Central Park - Airport pickup & Tours,3,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",1,4590000,4590000,0,6.2,9,,3.2,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,123 Apartment in Vinhomes Central Park - Airport pickup & Tours,3,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",1,4680000,4680000,0,6.2,9,,3.2,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,123 Apartment in Vinhomes Central Park - Airport pickup & Tours,3,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",2,5175000,5175000,0,6.2,9,,3.2,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,123 Apartment in Vinhomes Central Park - Airport pickup & Tours,3,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",3,5625000,5625000,0,6.2,9,,3.2,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,123 Apartment in Vinhomes Central Park - Airport pickup & Tours,3,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"5 giường (3 giường đôi rất lớn, 2 nệm futon)",4,7700000,7700000,0,6.2,9,,3.2,0,0,No Deal,6,1,7,12/23/2025
Random_6A_1C_4R_Ages(7),Vung Tau,126 Vung Tau Pool Villa Back Beach From 4 To 12 Rooms Options,5,Vung Tau,Vũng Tàu,Presidential/Suite,Biệt Thự Có Hồ Bơi Riêng,Double/Large,8 giường đôi lớn,4,4166667,8169935,49,9.4,23,,1.4,0,0,Ưu Đãi Cuối Năm,6,1,7,12/23/2025
Random_2A_0C_1R,Vung Tau,1988 Homestay Vũng Tàu,4,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Giường Đôi Có Ban Công,Double/Large,Phòng Giường Đôi Có Ban Công,1,300000,300000,0,9.2,16,9.5,1.1,0,0,No Deal,2,0,2,12/23/2025
Random_4A_0C_1R,Vung Tau,1988 Homestay Vũng Tàu,4,Vung Tau,Vũng Tàu,Standard/Superior,Phòng 4 Người Có Phòng Tắm Riêng,Double/Large,2 giường đôi lớn,1,500000,500000,0,9.2,16,9.5,1.1,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Vung Tau,1988 Homestay Vũng Tàu,4,Vung Tau,Vũng Tàu,Family/Large,Căn nhà phố 3 phòng ngủ,Double/Large,"9 giường (1 giường sofa, 4 giường đôi lớn, 4 nệm futon)",2,1200000,1200000,0,9.2,16,9.5,1.1,1,0,No Deal,5,0,5,12/23/2025
Random_2A_0C_1R,Binh Duong,1Br Sora Gardens1,0,Binh Duong,Ga Tân Thiết,Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,1 giường đôi,1,1100000,1100000,0,,,,,0,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,1br-Icon56-Hana's Apart,3,Quận 4,"Quận 4, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,1 giường đôi lớn,1,1350000,1350000,0,3,1,,1.1,0,0,No Deal,3,0,3,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,1km 2 Bui Vien-CozyRoom-CityCentral,0,Quận 5,"Quận 5, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe,Double/Large,1 giường đôi cực lớn,1,595000,595000,0,,,,2.9,1,0,No Deal,3,0,3,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,2 Bedroom Vinhome Central Park,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,2 giường đôi lớn,1,2200000,2200000,0,,,,3.1,0,0,No Deal,3,0,3,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,2 bedrooms Vinhome Central Park,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"2 giường (1 giường đôi, 1 giường đôi lớn)",1,3000000,3000000,0,,,,3.1,0,0,No Deal,3,0,3,12/23/2025
Random_5A_0C_2R,Vung Tau,2 lê hồng phong 3 bedroom sea view in VUNG TAU,0,Vung Tau,Vũng Tàu,Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"7 giường (3 giường đôi rất lớn, 1 giường sofa, 3 nệm futon)",2,913275,1113750,18,,,,2,0,0,No Deal,5,0,5,12/23/2025
Random_1A_0C_1R,Vung Tau,2 lê hồng phong 3 bedroom sea view in VUNG TAU,0,Vung Tau,Vũng Tàu,Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,2 giường đôi lớn,1,937657,937657,0,,,,2,0,0,No Deal,1,0,1,12/23/2025
Random_2A_0C_1R,Vung Tau,2 lê hồng phong 3 bedroom sea view in VUNG TAU,0,Vung Tau,Vũng Tàu,Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,2 giường đôi lớn,1,967921,967921,0,,,,2,0,0,No Deal,2,0,2,12/23/2025
Random_6A_0C_3R,Vung Tau,2 lê hồng phong 3 bedroom sea view in VUNG TAU,0,Vung Tau,Vũng Tàu,Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"7 giường (3 giường đôi rất lớn, 1 giường sofa, 3 nệm futon)",3,974160,1188000,18,,,,2,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Vung Tau,2 lê hồng phong 3 bedroom sea view in VUNG TAU,0,Vung Tau,Vũng Tàu,Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"7 giường (3 giường đôi rất lớn, 1 giường sofa, 3 nệm futon)",4,1035045,1262250,18,,,,2,0,0,No Deal,6,1,7,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,20% OFF Budget Hideout @Pham Ngu Lao 127 ĐT,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,1 giường đôi,1,765000,765000,0,7.6,5,,1.3,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,20% OFF Budget Hideout @Pham Ngu Lao 127 ĐT,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,1 giường đôi,1,810000,810000,0,7.6,5,,1.3,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,20% OFF Budget Hideout @Pham Ngu Lao 127 ĐT,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,1 giường đôi,2,855000,855000,0,7.6,5,,1.3,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,20% OFF Budget Hideout @Pham Ngu Lao 127 ĐT,3,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,1 giường đôi,3,900000,900000,0,7.6,5,,1.3,0,0,No Deal,6,0,6,12/23/2025
Random_1A_0C_1R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,1,1678204,1678204,0,8.6,173,9.4,0.6,0,1,No Deal,1,0,1,12/23/2025
Random_1A_0C_1R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,1,1691099,1691099,0,8.6,173,9.4,0.6,0,1,No Deal,1,0,1,12/23/2025
Random_2A_0C_1R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,1,1904263,1904263,0,8.6,173,9.4,0.6,0,1,No Deal,2,0,2,12/23/2025
Random_4A_0C_2R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,2,3838001,3838001,0,8.6,173,9.4,0.6,0,1,No Deal,4,0,4,12/23/2025
Random_2A_0C_2R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,2,4324320,9828000,56,8.6,173,9.4,0.6,0,1,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,1,4615380,10489500,56,8.6,173,9.4,0.6,0,1,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,1,4906440,11151000,56,8.6,173,9.4,0.6,0,1,No Deal,4,0,4,12/23/2025
Random_4A_0C_3R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,3,5260408,5260408,0,8.6,173,9.4,0.6,0,1,No Deal,4,0,4,12/23/2025
Random_4A_0C_3R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,3,6777540,15403500,56,8.6,173,9.4,0.6,0,1,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,2,7068600,16065000,56,8.6,173,9.4,0.6,0,1,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,22Land Hotel Saigon,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Deluxe,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,Double/Large,Phòng Deluxe Giường Đôi Không Có Cửa Sổ,3,7359660,16726500,56,8.6,173,9.4,0.6,0,1,No Deal,6,0,6,12/23/2025
Random_2A_0C_1R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi cực lớn,1,297377,297377,0,7.8,9,,1.2,0,0,No Deal,2,0,2,12/23/2025
Random_1A_0C_1R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,1,297377,297377,0,7.8,9,,1.2,0,0,No Deal,1,0,1,12/23/2025
Random_1A_0C_1R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi cực lớn,1,297903,297903,0,7.8,9,,1.2,0,0,No Deal,1,0,1,12/23/2025
Random_2A_0C_1R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi cực lớn,1,298692,298692,0,7.8,9,,1.2,0,0,No Deal,2,0,2,12/23/2025
Random_2A_0C_2R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,2,368668,594625,38,7.8,9,,1.2,0,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Standard/Superior,Phòng 3 Người,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",1,439710,709210,38,7.8,9,,1.2,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Standard/Superior,Phòng 4 Người,Double/Large,2 giường đôi lớn,1,490439,791030,38,7.8,9,,1.2,0,0,No Deal,4,0,4,12/23/2025
Random_4A_0C_2R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,2,737336,1189250,38,7.8,9,,1.2,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,2,808378,1303835,38,7.8,9,,1.2,0,0,No Deal,5,0,5,12/23/2025
Random_4A_2C_2R_Ages(9_7),Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi cực lớn,2,859107,1385655,38,7.8,9,,1.2,0,0,No Deal,4,2,6,12/23/2025
Random_4A_0C_3R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Deluxe,Phòng Deluxe Giường Đôi,Double/Large,3 giường đôi cực lớn,3,873972,873972,0,7.8,9,,1.2,0,0,No Deal,4,0,4,12/23/2025
Random_1A_3C_1R_Ages(14_4_3),Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Family/Large,Phòng Superior Gia Đình,Double/Large,4 giường đôi lớn,1,896379,1445773,38,7.8,9,,1.2,0,0,No Deal,1,3,4,12/23/2025
Random_5A_0C_3R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,3,1106004,1783875,38,7.8,9,,1.2,0,0,No Deal,5,0,5,12/23/2025
Random_4A_0C_3R,Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi cực lớn,3,1106004,1783875,38,7.8,9,,1.2,0,0,No Deal,4,0,4,12/23/2025
Random_6A_1C_4R_Ages(7),Vung Tau,26 Topaz Hotel,1,Vung Tau,Vũng Tàu,Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi cực lớn,4,1474672,2378500,38,7.8,9,,1.2,0,0,No Deal,6,1,7,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,2-bedroom apartment near the airport,4,Quận Tân,"Quận Tân Bình, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"2 giường (1 giường sofa, 1 giường đôi lớn)",2,1100000,1100000,0,,,,5,0,0,No Deal,5,0,5,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,2BedRoom-Max5People-1km 2 Bui Vien,0,Quận 5,"Quận 5, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"2 giường (1 giường đôi rất lớn, 1 giường đôi lớn)",2,1200000,1200000,0,,,,2.9,1,0,No Deal,5,0,5,12/23/2025
Random_2A_0C_1R,Ho Chi Minh,2BR 3BR Luxury Apartment Sky Pool,4,Quận 3,"Quận 3, TP. Hồ Chí Minh",Family/Large,Căn hộ Gia đình 2 Phòng ngủ,Double/Large,"4 giường (1 giường đơn, 1 giường sofa, 2 giường đôi lớn)",1,2850000,3800000,25,9,228,9.4,1.1,1,0,Ưu Đãi Cuối Năm,2,0,2,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,2BR 3BR Luxury Apartment Sky Pool,4,Quận 3,"Quận 3, TP. Hồ Chí Minh",Deluxe,Căn hộ Deluxe 2 Phòng ngủ,Double/Large,2 giường đôi cực lớn,4,6150000,8200000,25,9,228,9.4,1.1,1,0,Ưu Đãi Cuối Năm,6,1,7,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,2br-Vibrant Home-Sunrise North-D7-Hana's Apart,3,Quận 7,"Quận 7, TP. Hồ Chí Minh",Family/Large,Căn hộ Gia đình 2 Phòng ngủ,Double/Large,"3 giường (1 giường sofa, 2 giường đôi lớn)",1,3000000,3000000,0,4,3,,3.6,0,0,No Deal,3,0,3,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,2br-Vibrant Home-Sunrise North-D7-Hana's Apart,3,Quận 7,"Quận 7, TP. Hồ Chí Minh",Family/Large,Căn hộ Gia đình 2 Phòng ngủ,Double/Large,"3 giường (1 giường sofa, 2 giường đôi lớn)",2,3150000,3150000,0,4,3,,3.6,0,0,No Deal,5,0,5,12/23/2025
