hotel_id,city,hotel_name,hotel_link
IVU_000187,ho-chi-minh,Jason's House - Vinhomes Central Park,https://www.ivivu.com/khach-san-ho-chi-minh/jasons-house-vinhomes-central-park
IVU_000188,ho-chi-minh,GRAND LEE HOTEL,https://www.ivivu.com/khach-san-ho-chi-minh/grand-lee-hotel
IVU_000189,ho-chi-minh,Go Sweet House - Rivergate Residence,https://www.ivivu.com/khach-san-ho-chi-minh/go-sweet-house-rivergate-residence
IVU_000190,ho-chi-minh,HAAN Resort & Golf,https://www.ivivu.com/khach-san-ho-chi-minh/haan-resort-golf
IVU_000191,ho-chi-minh,Khách sạn RedDoorz Diamond CMT8,https://www.ivivu.com/khach-san-ho-chi-minh/reddoorz-diamond-hotel-cmt8
IVU_000192,ho-chi-minh,HANZ Happy 5 Hotel,https://www.ivivu.com/khach-san-ho-chi-minh/hanz-happy-5-hotel
IVU_000193,ho-chi-minh,HANZ Khách sạn Sunflower 821 Lê Hồng Phong,https://www.ivivu.com/khach-san-ho-chi-minh/hanz-sunflower-hotel-821-le-hong-phong
IVU_000194,ho-chi-minh,Khách sạn và Spa HANZ Vườn Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/hanz-vuon-saigon-hotel-spa
IVU_000195,ho-chi-minh,Khách sạn Pharaon 3,https://www.ivivu.com/khach-san-ho-chi-minh/pharaon-hotel-3
IVU_000196,ho-chi-minh,Khách sạn Viễn Đông 3 - Phú Mỹ Hưng,https://www.ivivu.com/khach-san-ho-chi-minh/vien-dong-3-hotel-phu-my-hung
IVU_000197,ho-chi-minh,Khách sạn Viễn Đông 2 - Phú Mỹ Hưng,https://www.ivivu.com/khach-san-ho-chi-minh/vien-dong-2-hotel-phu-my-hung
IVU_000198,ho-chi-minh,La Bonita hotel and Apartment,https://www.ivivu.com/khach-san-ho-chi-minh/la-bonita-hotel-and-apartment
IVU_000199,ho-chi-minh,Khách sạn và Căn hộ El Ocaso,https://www.ivivu.com/khach-san-ho-chi-minh/el-ocaso-hotel-and-apartments
IVU_000200,ho-chi-minh,RUBY STAR HOTEL,https://www.ivivu.com/khach-san-ho-chi-minh/ruby-star-hotel
IVU_000201,ho-chi-minh,Cactusland gần Ga Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/cactusland-near-saigon-train-station
IVU_000202,ho-chi-minh,M Village Living Kỳ Đồng,https://www.ivivu.com/khach-san-ho-chi-minh/m-village-k%E1%BB%B3-dong
IVU_000203,ho-chi-minh,Thiên Tài Hotel,https://www.ivivu.com/khach-san-ho-chi-minh/thien-tai-hotel
IVU_000204,ho-chi-minh,Gia Hân Hotel,https://www.ivivu.com/khach-san-ho-chi-minh/gia-han-hotel
IVU_000205,ho-chi-minh,Khách sạn Đông Đô Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/dong-do-saigon-hotel
IVU_000206,ho-chi-minh,Express by M Village Điện Biên Phủ Q3,https://www.ivivu.com/khach-san-ho-chi-minh/m-village-dien-bien-phu-q3
IVU_000207,ho-chi-minh,HANZ 868 City Hotel,https://www.ivivu.com/khach-san-ho-chi-minh/hanz-minh-thu-hotel-tan-binh
IVU_000208,ho-chi-minh,Ciao Saigon 2 Hotel,https://www.ivivu.com/khach-san-ho-chi-minh/ciao-saigon-2-hotel
IVU_000209,ho-chi-minh,Collection O VyVy Airport Hotel,https://www.ivivu.com/khach-san-ho-chi-minh/vyvy-airport-hotel
IVU_000210,ho-chi-minh,Khách sạn Sài Gòn's Book - Trước sân bay,https://www.ivivu.com/khach-san-ho-chi-minh/sai-gons-book-hotel-the-airport-front
IVU_000211,ho-chi-minh,Khách sạn Hà Oanh,https://www.ivivu.com/khach-san-ho-chi-minh/ha-oanh-hotel
IVU_000212,ho-chi-minh,Hotel Cát Tiên Sa,https://www.ivivu.com/khach-san-ho-chi-minh/hotel-cat-tien-sa
IVU_000213,ho-chi-minh,HANZ Minh Thu Hotel Go Vap,https://www.ivivu.com/khach-san-ho-chi-minh/hanz-minh-thu-hotel-go-vap
IVU_000214,ho-chi-minh,Hung Huong Hotel,https://www.ivivu.com/khach-san-ho-chi-minh/hung-huong-hotel
