Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,room_class,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge,ai_prediction_name,is_correct
8482500.0,7.0,20.0,424125.0,2.857142857142857,22,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,Superior,1
16761386.0,1.0,34.0,492981.9411764706,34.0,17,1,Luxury,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,Luxury,1
7457301.0,7.0,29.0,257148.3103448276,4.142857142857143,29,1,Deluxe,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Executive,0
1251402.0,2.0,20.0,62570.1,10.0,1,1,Superior,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Executive,0
1900000.0,2.0,20.0,95000.0,10.0,23,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,Suite,0
4245000.0,2.0,28.0,151607.14285714287,14.0,33,1,Deluxe,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,Suite,0
18941278.0,4.0,40.0,473531.95,10.0,16,1,Executive,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,Executive,1
3162706.0,2.0,27.0,117137.25925925926,13.5,27,1,Luxury,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,Luxury,1
2200000.0,3.0,46.0,47826.086956521736,15.333333333333334,1,1,Suite,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Suite,1
10374800.0,3.0,45.0,230551.11111111112,15.0,29,1,Suite,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,Suite,1
708050.0,1.0,25.0,28322.0,25.0,20,0,Standard,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Standard,1
2054021.0,2.0,20.0,102701.05,10.0,28,1,Superior,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,Superior,1
9474635.0,4.0,28.0,338379.8214285714,7.0,29,1,Luxury,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,Luxury,1
20502000.0,4.0,65.0,315415.3846153846,16.25,21,0,Suite,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,Suite,1
2299367.0,1.0,17.0,135256.88235294117,17.0,16,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,Standard,1
4317522.0,3.0,26.0,166058.53846153847,8.666666666666666,16,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,Superior,1
7970400.0,1.0,18.0,442800.0,18.0,28,1,Deluxe,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Superior,0
8350809.0,7.0,34.0,245612.0294117647,4.857142857142857,23,1,Deluxe,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,Deluxe,1
816500.0,2.0,40.0,20412.5,20.0,1,0,Standard,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,Luxury,0
5671017.0,3.0,26.0,218116.03846153847,8.666666666666666,19,1,Luxury,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,Luxury,1
21200256.0,7.0,25.0,848010.24,3.5714285714285716,26,1,Deluxe,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,Deluxe,1
562750.0,3.0,22.0,25579.545454545456,7.333333333333333,1,1,Deluxe,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,Deluxe,1
2323456.0,2.0,47.0,49435.234042553195,23.5,1,0,Luxury,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Luxury,1
1890333.0,2.0,38.0,49745.60526315789,19.0,1,1,Deluxe,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,Deluxe,1
1305928.0,2.0,56.0,23320.14285714286,28.0,1,0,Suite,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Suite,1
4464369.0,2.0,15.0,297624.6,7.5,17,1,Superior,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,Superior,1
1246769.0,4.0,24.0,51948.708333333336,6.0,2,0,Luxury,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,Luxury,1
5662691.0,2.0,29.0,195265.2068965517,14.5,17,1,Luxury,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,Luxury,1
16067240.0,5.0,29.0,554042.7586206896,5.8,21,1,Executive,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,Executive,1
484000.0,2.0,30.0,16133.333333333334,15.0,1,0,Luxury,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Luxury,1
3082500.0,1.0,32.0,96328.125,32.0,19,0,Suite,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,Suite,1
8538409.0,3.0,27.0,316237.3703703704,9.0,26,0,Luxury,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,Luxury,1
2926834.0,3.0,22.0,133037.9090909091,7.333333333333333,16,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,Superior,1
3270000.0,2.0,50.0,65400.0,25.0,30,0,Suite,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,Suite,1
1016500.0,2.0,35.0,29042.85714285714,17.5,1,0,Standard,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,Standard,1
15298863.0,5.0,28.0,546387.9642857143,5.6,29,0,Luxury,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,Luxury,1
1992519.0,2.0,30.0,66417.3,15.0,1,1,Executive,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,Executive,1
2607500.0,2.0,35.0,74500.0,17.5,1,0,Standard,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,Standard,1
36975013.0,4.0,28.0,1320536.1785714286,7.0,23,1,Executive,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,Executive,1
15630000.0,4.0,54.0,289444.44444444444,13.5,27,0,Suite,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,Suite,1
11399381.0,4.0,26.0,438437.73076923075,6.5,19,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Deluxe,0
16487500.0,7.0,28.0,588839.2857142857,4.0,19,1,Deluxe,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,Suite,0
1788063.0,2.0,36.0,49668.416666666664,18.0,1,0,Luxury,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Luxury,1
863250.0,2.0,12.0,71937.5,6.0,1,1,Superior,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,Superior,1
4006003.0,2.0,22.0,182091.04545454544,11.0,1,0,Luxury,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,Luxury,1
14010000.0,6.0,35.0,400285.71428571426,5.833333333333333,32,0,Suite,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,Suite,1
2540000.0,2.0,15.0,169333.33333333334,7.5,20,0,Standard,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,Standard,1
3700000.0,2.0,50.0,74000.0,25.0,31,0,Standard,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,Suite,0
14670000.0,3.0,60.0,244500.0,20.0,29,0,Suite,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,Suite,1
115800000.0,5.0,29.0,3993103.4482758623,5.8,28,1,Executive,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,Executive,1
99634319.0,5.0,25.0,3985372.76,5.0,26,1,Executive,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,Executive,1
1620005.0,3.0,19.0,85263.42105263157,6.333333333333333,18,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Superior,1
11533211.0,1.0,36.0,320366.97222222225,36.0,29,0,Luxury,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,Luxury,1
3825000.0,3.0,25.0,153000.0,8.333333333333334,8,1,Deluxe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Deluxe,1
83625911.0,1.0,39.0,2144254.128205128,39.0,29,1,Executive,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,Executive,1
799000.0,2.0,20.0,39950.0,10.0,1,1,Deluxe,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,Deluxe,1
645500.0,2.0,15.0,43033.333333333336,7.5,1,0,Standard,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Standard,1
3646318.0,2.0,15.0,243087.86666666667,7.5,19,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Superior,1
8522700.0,2.0,25.0,340908.0,12.5,25,1,Deluxe,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,Deluxe,1
7202250.0,1.0,30.0,240075.0,30.0,34,0,Suite,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,Suite,1
3241045.0,2.0,30.0,108034.83333333333,15.0,30,0,Standard,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,Suite,0
1631270.0,2.0,51.0,31985.686274509804,25.5,1,1,Superior,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Executive,0
1813396.0,2.0,25.0,72535.84,12.5,2,1,Superior,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,Superior,1
7544505.0,1.0,32.0,235765.78125,32.0,32,0,Suite,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,Suite,1
13834596.0,4.0,35.0,395274.17142857146,8.75,17,1,Luxury,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,Luxury,1
17938070.0,2.0,23.0,779916.0869565217,11.5,28,0,Luxury,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,Luxury,1
15476254.0,7.0,16.0,967265.875,2.2857142857142856,15,1,Superior,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Superior,1
5928286.0,2.0,9.0,658698.4444444445,4.5,12,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,Superior,1
11229935.0,2.0,27.0,415923.51851851854,13.5,19,1,Luxury,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,Luxury,1
2177877.0,1.0,18.0,120993.16666666667,18.0,18,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,Superior,1
17955000.0,7.0,20.0,897750.0,2.857142857142857,17,1,Superior,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,Superior,1
966500.0,2.0,25.0,38660.0,12.5,1,1,Superior,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,Suite,0
9000000.0,4.0,25.0,360000.0,6.25,19,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Superior,1
791915.0,2.0,20.0,39595.75,10.0,1,1,Superior,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Superior,1
14793610.0,3.0,19.0,778611.052631579,6.333333333333333,17,1,Superior,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,Deluxe,0
5922000.0,5.0,22.0,269181.8181818182,4.4,19,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,Deluxe,0
20020000.0,4.0,23.0,870434.7826086957,5.75,28,1,Deluxe,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,Deluxe,1
7661970.0,6.0,46.0,166564.5652173913,7.666666666666667,16,1,Executive,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,Executive,1
8775000.0,3.0,60.0,146250.0,20.0,28,0,Suite,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,Suite,1
12272800.0,3.0,22.0,557854.5454545454,7.333333333333333,21,0,Suite,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,Suite,1
7689600.0,1.0,28.0,274628.5714285714,28.0,32,0,Suite,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,Suite,1
5250000.0,3.0,18.0,291666.6666666667,6.0,16,0,Standard,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,Standard,1
3645000.0,4.0,22.0,165681.81818181818,5.5,22,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Standard,1
6922500.0,6.0,20.0,346125.0,3.3333333333333335,22,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,Superior,1
7533000.0,4.0,45.0,167400.0,11.25,28,0,Standard,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,Standard,1
2567994.0,2.0,39.0,65846.0,19.5,1,1,Executive,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,Deluxe,0
6210000.0,4.0,28.0,221785.7142857143,7.0,22,0,Standard,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,Suite,0
3081355.0,1.0,25.0,123254.2,25.0,16,1,Deluxe,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,Deluxe,1
8930000.0,3.0,38.0,235000.0,12.666666666666666,21,1,Suite,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,Suite,1
6577846.0,5.0,28.0,234923.07142857142,5.6,26,0,Luxury,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,Luxury,1
24913055.0,5.0,29.0,859070.8620689656,5.8,16,1,Executive,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,Executive,1
811294.0,2.0,53.0,15307.433962264151,26.5,1,0,Luxury,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,Standard,0
13585087.0,7.0,18.0,754727.0555555555,2.5714285714285716,9,1,Superior,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Superior,1
2987799.0,5.0,28.0,106707.10714285714,5.6,17,1,Luxury,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,Luxury,1
8100000.0,6.0,12.0,675000.0,2.0,16,1,Deluxe,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,Deluxe,1
622208.0,2.0,20.0,31110.4,10.0,1,0,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Standard,1
11040000.0,2.0,14.0,788571.4285714285,7.0,22,0,Standard,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,Standard,1
59084159.0,1.0,30.0,1969471.9666666666,30.0,27,1,Executive,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,Executive,1
17844647.0,5.0,27.0,660912.8518518518,5.4,27,0,Luxury,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,Luxury,1
360000.0,2.0,32.0,11250.0,16.0,1,1,Deluxe,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,Superior,0
12443197.0,5.0,30.0,414773.23333333334,6.0,29,1,Executive,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,Executive,1
8790600.0,2.0,25.0,351624.0,12.5,31,0,Suite,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,Suite,1
481000.0,2.0,25.0,19240.0,12.5,1,1,Deluxe,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,Deluxe,1
9567306.0,5.0,29.0,329907.1034482759,5.8,17,1,Luxury,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,Luxury,1
16504800.0,3.0,36.0,458466.6666666667,12.0,17,1,Deluxe,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,Deluxe,1
16861513.0,5.0,24.0,702563.0416666666,4.8,24,1,Executive,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,Deluxe,0
657846.0,2.0,17.0,38696.82352941176,8.5,1,1,Executive,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,Superior,0
1710352.0,2.0,24.0,71264.66666666667,12.0,1,1,Executive,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Executive,1
1199000.0,2.0,40.0,29975.0,20.0,1,0,Standard,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,Standard,1
105689744.0,1.0,28.0,3774633.714285714,28.0,18,1,Executive,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,Executive,1
36646650.0,4.0,35.0,1047047.1428571428,8.75,29,1,Executive,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,Executive,1
7312500.0,4.0,19.0,384868.4210526316,4.75,24,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Standard,1
17248029.0,6.0,29.0,594759.6206896552,4.833333333333333,17,1,Deluxe,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,Executive,0
966500.0,2.0,25.0,38660.0,12.5,1,1,Superior,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,Suite,0
