Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,room_class,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge
1500000.0,2.0,25.0,60000.0,12.5,20,0,Standard,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
14968800.0,6.0,25.0,598752.0,4.166666666666667,12,0,Standard,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
2628134.0,2.0,16.0,164258.375,8.0,19,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
2500000.0,1.0,20.0,125000.0,20.0,20,0,Standard,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1
3685500.0,6.0,20.0,184275.0,3.3333333333333335,28,0,Standard,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1
2760000.0,1.0,17.0,162352.9411764706,17.0,21,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
5965080.0,7.0,18.0,331393.3333333333,2.5714285714285716,17,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
4140000.0,3.0,24.0,172500.0,8.0,19,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
9828000.0,5.0,10.0,982800.0,2.0,15,0,Standard,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
5450000.0,3.0,30.0,181666.66666666666,10.0,21,0,Standard,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1
5310000.0,2.0,20.0,265500.0,10.0,34,0,Standard,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0
2711004.0,2.0,40.0,67775.1,20.0,1,1,Suite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366065.0,4.0,60.0,22767.75,15.0,1,1,Suite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13950000.0,5.0,20.0,697500.0,4.0,17,0,Standard,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1
3462750.0,2.0,23.0,150554.34782608695,11.5,18,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5670000.0,3.0,17.0,333529.4117647059,5.666666666666667,18,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
8505000.0,4.0,30.0,283500.0,7.5,26,0,Standard,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
9200000.0,5.0,13.0,707692.3076923077,2.6,16,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
4316047.0,2.0,25.0,172641.88,12.5,29,0,Standard,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
3490162.0,5.0,18.0,193897.88888888888,3.6,21,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
5580000.0,2.0,18.0,310000.0,9.0,18,0,Standard,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
8010000.0,4.0,17.0,471176.4705882353,4.25,18,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
14688000.0,5.0,25.0,587520.0,5.0,21,0,Standard,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
4350000.0,2.0,18.0,241666.66666666666,9.0,27,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
2155600.0,2.0,18.0,119755.55555555556,9.0,21,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
6510587.0,3.0,14.0,465041.9285714286,4.666666666666667,17,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
1750000.0,1.0,40.0,43750.0,40.0,16,0,Standard,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
7000000.0,5.0,35.0,200000.0,7.0,21,0,Standard,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
13435432.0,2.0,15.0,895695.4666666667,7.5,17,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
7560000.0,3.0,30.0,252000.0,10.0,26,0,Standard,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
11946970.0,4.0,9.0,1327441.111111111,2.25,12,1,Superior,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
2250000.0,2.0,24.0,93750.0,12.0,22,0,Standard,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
7240000.0,6.0,16.0,452500.0,2.6666666666666665,16,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
3003000.0,5.0,12.0,250250.0,2.4,17,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
3159000.0,3.0,15.0,210600.0,5.0,20,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
5725000.0,5.0,20.0,286250.0,4.0,12,0,Standard,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
476500.0,2.0,19.0,25078.947368421053,9.5,1,0,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4410000.0,2.0,16.0,275625.0,8.0,21,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
4592000.0,5.0,16.0,287000.0,3.2,18,0,Standard,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
3300000.0,5.0,35.0,94285.71428571429,7.0,30,0,Standard,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
1680000.0,2.0,40.0,42000.0,20.0,19,0,Standard,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
11317894.0,2.0,18.0,628771.8888888889,9.0,16,0,Standard,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
645000.0,2.0,16.0,40312.5,8.0,1,0,Standard,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
8380000.0,5.0,15.0,558666.6666666666,3.0,20,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
11254433.0,4.0,25.0,450177.32,6.25,28,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
807500.0,1.0,45.0,17944.444444444445,45.0,27,0,Standard,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
12778560.0,7.0,20.0,638928.0,2.857142857142857,19,0,Standard,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
4754750.0,2.0,21.0,226416.66666666666,10.5,20,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
715000.0,2.0,24.0,29791.666666666668,12.0,1,1,Standard,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12512000.0,5.0,14.0,893714.2857142857,2.8,14,0,Standard,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
4267600.0,2.0,20.0,213380.0,10.0,33,0,Standard,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1
7950000.0,4.0,20.0,397500.0,5.0,19,0,Standard,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
7000000.0,4.0,18.0,388888.8888888889,4.5,19,0,Standard,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
3840000.0,2.0,50.0,76800.0,25.0,19,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
963000.0,2.0,30.0,32100.0,15.0,1,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5040000.0,2.0,16.0,315000.0,8.0,22,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
3450000.0,3.0,40.0,86250.0,13.333333333333334,26,0,Standard,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
8910000.0,4.0,20.0,445500.0,5.0,17,0,Standard,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1
2340000.0,2.0,35.0,66857.14285714286,17.5,25,0,Standard,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
9390600.0,5.0,28.0,335378.5714285714,5.6,29,0,Standard,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
801500.0,2.0,25.0,32060.0,12.5,1,0,Standard,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1
7420000.0,5.0,18.0,412222.22222222225,3.6,18,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
7552596.0,2.0,66.0,114433.27272727272,33.0,27,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1
2667600.0,4.0,22.0,121254.54545454546,5.5,26,0,Standard,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
6000000.0,2.0,28.0,214285.7142857143,14.0,27,0,Standard,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
6240000.0,5.0,42.0,148571.42857142858,8.4,28,0,Standard,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0
2194000.0,2.0,25.0,87760.0,12.5,1,0,Standard,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1496476.0,4.0,60.0,24941.266666666666,15.0,1,1,Suite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2487802.0,2.0,28.0,88850.07142857143,14.0,1,1,Executive,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13528000.0,2.0,28.0,483142.85714285716,14.0,33,0,Standard,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1
13500000.0,2.0,35.0,385714.28571428574,17.5,33,0,Standard,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0
4750000.0,6.0,15.0,316666.6666666667,2.5,25,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
4862000.0,5.0,15.0,324133.3333333333,3.0,16,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
7040000.0,4.0,34.0,207058.82352941178,8.5,24,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
920500.0,2.0,25.0,36820.0,12.5,1,0,Standard,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
3118500.0,4.0,20.0,155925.0,5.0,32,0,Standard,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1
10500000.0,6.0,18.0,583333.3333333334,3.0,18,0,Standard,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
1604440.0,2.0,15.0,106962.66666666667,7.5,27,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
6800000.0,4.0,32.0,212500.0,8.0,15,0,Standard,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1800000.0,2.0,16.0,112500.0,8.0,28,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
593500.0,2.0,25.0,23740.0,12.5,1,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
8000000.0,4.0,50.0,160000.0,12.5,17,0,Standard,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2601000.0,2.0,18.0,144500.0,9.0,27,0,Standard,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0
9000000.0,7.0,18.0,500000.0,2.5714285714285716,16,0,Standard,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
4212000.0,3.0,25.0,168480.0,8.333333333333334,20,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
8912215.0,3.0,30.0,297073.8333333333,10.0,18,0,Standard,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
2394035.0,1.0,17.0,140825.58823529413,17.0,18,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
3325000.0,3.0,35.0,95000.0,11.666666666666666,24,0,Standard,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
3003851.0,1.0,18.0,166880.61111111112,18.0,27,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
9000000.0,5.0,15.0,600000.0,3.0,18,0,Standard,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
7169100.0,5.0,16.0,448068.75,3.2,24,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
4069800.0,2.0,20.0,203490.0,10.0,32,0,Standard,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0
593500.0,2.0,25.0,23740.0,12.5,1,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
9200000.0,2.0,20.0,460000.0,10.0,31,0,Standard,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
15057500.0,5.0,20.0,752875.0,4.0,21,0,Standard,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
4945000.0,5.0,16.0,309062.5,3.2,20,0,Standard,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
5804602.0,3.0,25.0,232184.08,8.333333333333334,29,0,Standard,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
4672800.0,6.0,18.0,259600.0,3.0,17,0,Standard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
984000.0,2.0,20.0,49200.0,10.0,1,0,Standard,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
