room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
ROOM_001001,IVU_000002,Premier Sky View,19845000,36 m²,Giường cũi của em bé (theo yêu cầu),3,Hướng thành phố,Hướng thành phố; 36 m²; Hướng thành phố; 36 m²; Hướng thành phố; 36 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Bồn tắm; Vòi hoa sen; 1 phòng ngủ; Ấm nước điện; Áo choàng tắm; Bồn tắm; Máy sấy tóc; Gương; phòng tắm riêng; Cân; Bồn tắm/vòi sen riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Điều hòa; Đồng hồ báo thức; Dép đi trong nhà; Ổ cắm điện gần giường; Dịch vụ báo thức; Trà miễn phí; Nước đóng chai miễn phí; Tủ lạnh nhỏ trong phòng; Bàn làm việc; Khu vực tiếp khách; Thùng rác; Tủ quần áo; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Điều hòa cá nhân; Két sắt trong phòng; Két sắt cho máy tính xách tay; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_003001,IVU_000004,Deluxe Room,1836000,29 m²,,3,Hướng thành phố | không cảnh quan,Hướng thành phố | không cảnh quan; 29 m²; Hướng thành phố; 56 m²; Hướng hồ bơi; 45-61 m²; Hướng hồ bơi | thành phố; 87 m²; Hướng thành phố | không cảnh quan; 29 m²; Phòng không hút thuốc; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_003002,IVU_000004,Suite Room,2268000,56 m²,1 Giường King (1m8 x 2m),3,Hướng thành phố,Hướng thành phố | không cảnh quan; 29 m²; Hướng thành phố; 56 m²; Hướng hồ bơi; 45-61 m²; Hướng hồ bơi | thành phố; 87 m²; Hướng thành phố; 56 m²; Phòng không hút thuốc; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King (1m8 x 2m)
ROOM_003003,IVU_000004,Deluxe Suite,2592000,45-61 m²,1 Giường King (1m8 x 2m),3,Hướng hồ bơi,Hướng thành phố | không cảnh quan; 29 m²; Hướng thành phố; 56 m²; Hướng hồ bơi; 45-61 m²; Hướng hồ bơi | thành phố; 87 m²; Hướng hồ bơi; 45-61 m²; Phòng không hút thuốc; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Giường King (1m8 x 2m)
ROOM_003004,IVU_000004,Dynasty Suite,3348000,87 m²,1 Giường King (1m8 x 2m ),3,Hướng hồ bơi | thành phố,Hướng thành phố | không cảnh quan; 29 m²; Hướng thành phố; 56 m²; Hướng hồ bơi; 45-61 m²; Hướng hồ bơi | thành phố; 87 m²; Hướng hồ bơi | thành phố; 87 m²; Phòng không hút thuốc; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 2 phòng ngủ; 1 Giường King (1m8 x 2m); 1 Giường King (1m8 x 2m )
ROOM_004005,IVU_000006,Standard Double Room,742500,22 m²,1 Giường Queen (1m6),2,,22 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; 30 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; 22 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường Queen (1m6)
ROOM_004006,IVU_000006,Superior Double Room,923250,25 m²,1 Giường Queen (1m6),2,,22 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; 30 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường Queen (1m6)
ROOM_006005,IVU_000008,Deluxe Double/Twin Room,1122000,18-20 m²,,2,Hướng thành phố,18-20 m²; Cửa sổ; 22-26 m²; Cửa sổ; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; 28 m²; Cửa sổ; Hướng thành phố; 35 m²; Hướng thành phố; 32 m²; 18-20 m²; Cửa sổ; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_006006,IVU_000008,Premier Double/Twin Room,1298000,22-26 m²,,2,Hướng thành phố,18-20 m²; Cửa sổ; 22-26 m²; Cửa sổ; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; 28 m²; Cửa sổ; Hướng thành phố; 35 m²; Hướng thành phố; 32 m²; 22-26 m²; Cửa sổ; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_006007,IVU_000008,Executive Double/Twin Room,1474000,32 m²,,2,Hướng thành phố,18-20 m²; Cửa sổ; 22-26 m²; Cửa sổ; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; 28 m²; Cửa sổ; Hướng thành phố; 35 m²; Hướng thành phố; 32 m²; Hướng thành phố; 32 m²; Cửa sổ; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
