hotel_id,city,hotel_name,hotel_link
IVU_000384,vung-tau,Bo - Homestay The Song 2pn,https://www.ivivu.com/khach-san-vung-tau/bo-homestay-the-song-2pn
IVU_000385,vung-tau,Sabina Luxury Boutique Hotel & Villa,https://www.ivivu.com/khach-san-vung-tau/sabina-luxury-boutique-hotel-villa
IVU_000386,vung-tau,SeaSala VT Hotel,https://www.ivivu.com/khach-san-vung-tau/seasala-vt-hotel
IVU_000387,vung-tau,Sunny Canopy Homestay,https://www.ivivu.com/khach-san-vung-tau/sunny-canopy-homestay
IVU_000388,vung-tau,The Song Vũng Tàu Apartment - Cookies Homestay Căn Hộ Biển,https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau-apartment-cookies-homestay-can-ho-bien
IVU_000389,vung-tau,Homestay Hồng Hà - Căn hộ The Sóng 2 Phòng Ngủ,https://www.ivivu.com/khach-san-vung-tau/homestay-hong-ha-can-ho-the-song-2-phong-ngu
IVU_000390,vung-tau,Căn hộ nghỉ dưỡng cao cấp Luxury Condotel Vung Tau,https://www.ivivu.com/khach-san-vung-tau/can-ho-nghi-duong-cao-cap-luxury-condotel-vung-tau
IVU_000391,vung-tau,The Song Vung Tau Apartment (View Pullman),https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau-apartment-view-pullman
IVU_000392,vung-tau,The Sóng Vũng Tàu 1,https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau-1
IVU_000393,vung-tau,Studio Apartment Louis&Jack Home 50m2 with Balcony,https://www.ivivu.com/khach-san-vung-tau/studio-apartment-louis-jack-home-50m2-with-balcony
IVU_000394,vung-tau,The Sóng Vũng Tàu - Suri's 3 Bedroom Apartment,https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau-suris-3-bedroom-apartment
IVU_000395,vung-tau,MELODY VŨNG TÀU,https://www.ivivu.com/khach-san-vung-tau/melody-vung-tau
IVU_000396,vung-tau,The Song Vung Tau - Green Apartment,https://www.ivivu.com/khach-san-vung-tau/aparcondotel-the-song-vung-tau
IVU_000397,vung-tau,"Căn hộ Gateway view hồ bơi, thành phố",https://www.ivivu.com/khach-san-vung-tau/can-ho-gateway-view-ho-boi-thanh-pho
IVU_000398,vung-tau,High-class Apartments close to the sea,https://www.ivivu.com/khach-san-vung-tau/high-class-apartments-close-to-the-sea
IVU_000399,vung-tau,The Sóng Condotel Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/the-song-condotel-vung-tau
IVU_000400,vung-tau,THE SÓNG VIEW TP VÀ PULLMAN - TUYỆT VỜI,https://www.ivivu.com/khach-san-vung-tau/the-song-view-tp-va-pullman-tuyet-voi
IVU_000401,vung-tau,The song,https://www.ivivu.com/khach-san-vung-tau/the-song
IVU_000402,vung-tau,Cozy Apartment – The Sóng Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/cozy-apartment-the-song-vung-tau
IVU_000403,vung-tau,Cozrum Homes - Phoenix DIC Apartment,https://www.ivivu.com/khach-san-vung-tau/cozrum-homes-phoenix-dic-apartment
IVU_000404,vung-tau,Gateway 1 phong ngu,https://www.ivivu.com/khach-san-vung-tau/gateway-1-phong-ngu
IVU_000405,vung-tau,Apartment For Rent,https://www.ivivu.com/khach-san-vung-tau/apartment-for-rent
IVU_000406,vung-tau,Căn hộ nghĩ dưỡng cao cấp 4sao gần biển Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/can-ho-nghi-duong-cao-cap-4sao-gan-bien-vung-tau
IVU_000407,vung-tau,SUITE 5* THE SÓNG JENBU,https://www.ivivu.com/khach-san-vung-tau/suite-5-the-song-jenbu
IVU_000408,vung-tau,The Sóng Vũng Tàu Dhouse,https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau
IVU_000409,vung-tau,Gateway 2 phong ngu,https://www.ivivu.com/khach-san-vung-tau/gateway-2-phong-ngu
IVU_000410,vung-tau,Khách sạn BIS hotel & coffee Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-bis-hotel-coffee-vung-tau
IVU_000411,vung-tau,Khách sạn Tre Việt,https://www.ivivu.com/khach-san-vung-tau/bamboo-hotel-13541849
IVU_000412,vung-tau,The Sóng Vũng Tàu - Bin's House,https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau-bins-house
IVU_000413,vung-tau,Babylon Mini Resort,https://www.ivivu.com/khach-san-vung-tau/babylon-mini-resort
IVU_000414,vung-tau,Kim Minh Apartment & Hotel,https://www.ivivu.com/khach-san-vung-tau/kim-minh-apartment-hotel
IVU_000415,vung-tau,The Alcove Apartment Vung Tau,https://www.ivivu.com/khach-san-vung-tau/the-alcove-apartment-vung-tau
IVU_000416,vung-tau,Hoang Minh 846 Hostel,https://www.ivivu.com/khach-san-vung-tau/hoang-minh-846-hostel
IVU_000417,vung-tau,Khách Sạn Cô Ba,https://www.ivivu.com/khach-san-vung-tau/co-ba-hotel
IVU_000418,vung-tau,CĂN HỘ 1PN A2405,https://www.ivivu.com/khach-san-vung-tau/can-ho-1pn-a2405
IVU_000419,vung-tau,Khách Sạn Bãi Trước,https://www.ivivu.com/khach-san-vung-tau/hotel-bai-truoc
IVU_000420,vung-tau,Phuoc Hai Hotel by The Moment,https://www.ivivu.com/khach-san-vung-tau/phuoc-hai-hotel-by-the-moment
IVU_000421,vung-tau,Family Room,https://www.ivivu.com/khach-san-vung-tau/family-room
IVU_000422,vung-tau,Hoang Sang,https://www.ivivu.com/khach-san-vung-tau/hoang-sang
IVU_000423,vung-tau,Thi Thanh Hotel,https://www.ivivu.com/khach-san-vung-tau/thi-thanh-hotel
IVU_000424,vung-tau,The Song Apartment Vung Tau - T House,https://www.ivivu.com/khach-san-vung-tau/can-ho-du-lich-nghi-duong-the-song-trinhs-house
IVU_000425,vung-tau,Căn hộ nghỉ dưỡng 5 * tuyệt vời dành cho gia đình,https://www.ivivu.com/khach-san-vung-tau/can-ho-nghi-duong-5-tuyet-voi-danh-cho-gia-dinh
IVU_000426,vung-tau,The Queen Apartment with Sea view A9-11,https://www.ivivu.com/khach-san-vung-tau/can-ho-2-phong-ngu-the-song-co-ho-boi-huong-bien
IVU_000427,vung-tau,Căn hộ Goldsea 2PN view biển b18-03,https://www.ivivu.com/khach-san-vung-tau/can-ho-goldsea-2pn-view-bien-b18-03
IVU_000428,vung-tau,HƯƠNG PALACE,https://www.ivivu.com/khach-san-vung-tau/huong-palace-953371
IVU_000429,vung-tau,Khách Sạn & Căn Hộ Phúc Lâm,https://www.ivivu.com/khach-san-vung-tau/phuc-lam-hotel-apartment
IVU_000430,vung-tau,Apartment 3 GOLD SEA - SWIMMING POOL - Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/apartment-3-gold-sea-swimming-pool-vung-tau
IVU_000431,vung-tau,Bibi Homestay,https://www.ivivu.com/khach-san-vung-tau/bibi-homestay
IVU_000432,vung-tau,Khanh homestay,https://www.ivivu.com/khach-san-vung-tau/khanh-homestay
IVU_000433,vung-tau,Thịnh Anh Hotel,https://www.ivivu.com/khach-san-vung-tau/thinh-anh-hotel
IVU_000434,vung-tau,Khách Sạn Hương Phong,https://www.ivivu.com/khach-san-vung-tau/huong-phong-hotel
IVU_000435,vung-tau,HOMEAWAY 02 - THE SONG APARTMENT VUNG TAU,https://www.ivivu.com/khach-san-vung-tau/homeaway-03-the-song-apartment-2brs-lux-condotel
IVU_000436,vung-tau,Hotel Hoai Anh,https://www.ivivu.com/khach-san-vung-tau/hotel-hoai-anh
IVU_000437,vung-tau,Khách Sạn Thu Trang Beachfront,https://www.ivivu.com/khach-san-vung-tau/thu-trang-beachfront-hotel
IVU_000438,vung-tau,DUY KHANG hotel,https://www.ivivu.com/khach-san-vung-tau/duy-khang-hotel
IVU_000439,vung-tau,MILANESA HOTEL & APARTMENT,https://www.ivivu.com/khach-san-vung-tau/milanesa-hotel-apartment
IVU_000440,vung-tau,Khách sạn La Casa,https://www.ivivu.com/khach-san-vung-tau/la-casa-hotel-30142363
IVU_000441,vung-tau,Khách Sạn Anthony,https://www.ivivu.com/khach-san-vung-tau/anthony-hotel
IVU_000442,vung-tau,HOMEAWAY 01 - THE SONG APARTMENT VUNG TAU,https://www.ivivu.com/khach-san-vung-tau/homeaway-01-the-song-apartment-3brs-lux-condotel
IVU_000443,vung-tau,HOMEAWAY - MELODY VUNG TAU,https://www.ivivu.com/khach-san-vung-tau/homeaway-melody-vung-tau
IVU_000444,vung-tau,Fusion Studio Apartment,https://www.ivivu.com/khach-san-vung-tau/fusion-studio-apartment
IVU_000445,vung-tau,Front Beach Hotel,https://www.ivivu.com/khach-san-vung-tau/front-beach-hotel-47818146
IVU_000446,vung-tau,Khách sạn Lucys,https://www.ivivu.com/khach-san-vung-tau/lucys-hotel
IVU_000447,vung-tau,Homestay Bonvoyage,https://www.ivivu.com/khach-san-vung-tau/homestay-bonvoyage
IVU_000448,vung-tau,Khách sạn & Căn hộ Vũng Tàu Luxury,https://www.ivivu.com/khach-san-vung-tau/vung-tau-luxury-hotel-apartment
IVU_000449,vung-tau,Montana Homestay Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/montana-homestay-vung-tau
IVU_000450,vung-tau,"Vung Tau Goldsea Apartment - Sea View, and Pool",https://www.ivivu.com/khach-san-vung-tau/vung-tau-goldsea-apartment-sea-view-and-pool
IVU_000451,vung-tau,Fusion Studio City View Apartment,https://www.ivivu.com/khach-san-vung-tau/fusion-studio-city-view-apartment
IVU_000452,vung-tau,căn hộ 3 phòng view biển rộng,https://www.ivivu.com/khach-san-vung-tau/can-ho-3-phong-view-bien-rong
IVU_000453,vung-tau,Hotel Hoàng Phú,https://www.ivivu.com/khach-san-vung-tau/hotel-hoang-phu
IVU_000454,vung-tau,Marina Luxury Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/marina-luxury-vung-tau
IVU_000455,vung-tau,Nin Garden Homestay,https://www.ivivu.com/khach-san-vung-tau/nin-garden-homestay
IVU_000456,vung-tau,Cua Homestay,https://www.ivivu.com/khach-san-vung-tau/cua-homestay
IVU_000457,vung-tau,Golden Hotel,https://www.ivivu.com/khach-san-vung-tau/golden-hotel-1019772
