hotel_name,hotel_url,detail_url,name_detail,phone,ratingValue,reviewCount,priceRange,address,amenities,room_types
666. T78 Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15596487-Reviews-T78_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15596487-Reviews-T78_Hotel-Ho_Chi_Minh_City.html,T78 Hotel,,4.0,1.0,763.158 ₫ - 1.526.316 ₫,"145 Lý Chính Thắng Phường 7, Quận 3, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bữa sáng miễn phí, Internet tốc độ miễn phí (WiFi), Nhà hàng, Wifi",Thành phố
86. Athena Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7387693-Reviews-Athena_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7387693-Reviews-Athena_Hotel-Ho_Chi_Minh_City.html,Athena Hotel,,4.0,100.0,1.157.895 ₫ - 2.289.474 ₫,"280 To Hien Thanh Ward 15, Dist 10, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bàn làm việc, Bãi đỗ xe, Bữa sáng miễn phí, Bồn tắm / vòi sen, Bồn tắm nước nóng, Các hoạt động cho trẻ em (Phù hợp với trẻ em / gia đình), Dọn phòng, Internet tốc độ miễn phí (WiFi), Khu vực ngồi, Két sắt, Máy pha cà phê / trà, Phòng không hút thuốc, Phòng Suite, Phòng họp, Quầy bar mini, Trung tâm thể dục thẩm mỹ, Xe đưa đón sân bay, Điều hòa nhiệt độ","Suite, Thành phố"
551. Lucky Star Hotel 146 Nguyen Trai,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16470913-Reviews-Lucky_Star_Hotel_146_Nguyen_Trai-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16470913-Reviews-Lucky_Star_Hotel_146_Nguyen_Trai-Ho_Chi_Minh_City.html,Lucky Star Hotel 146 Nguyen Trai,,4.0,2.0,578.947 ₫ - 1.921.053 ₫,"146 Nguyen Trai, Thành phố Hồ Chí Minh, Việt Nam",,Thành phố
561. Vika Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13953822-Reviews-Vika_Homestay-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13953822-Reviews-Vika_Homestay-Ho_Chi_Minh_City.html,Vika Homestay,,4.0,4.0,526.316 ₫ - 868.421 ₫,"18B/70 Nguyen Thi Minh Khai, Thành phố Hồ Chí Minh, Việt Nam","Bữa sáng miễn phí, Các hoạt động cho trẻ em (Phù hợp với trẻ em / gia đình), Dịch vụ giặt là, Dịch vụ phòng, Điều hòa nhiệt độ",Thành phố
919. Happy Inn 2,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3314245-Reviews-Happy_Inn_2-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3314245-Reviews-Happy_Inn_2-Ho_Chi_Minh_City.html,Happy Inn 2,,4.0,19.0,,"40/13 Bui Vien St, District 1, Thành phố Hồ Chí Minh, 70000, Việt Nam",,Thành phố
Quynh Trang Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12822977-Reviews-Quynh_Trang_Hotel-Hai_Phong.html,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12822977-Reviews-Quynh_Trang_Hotel-Hai_Phong.html,Quynh Trang Hotel,,4.0,1.0,,"51 Nguyen Trai Ngo Quyen District, Việt Nam",,
1. Khách sạn Sài Gòn Prince,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306204-Reviews-Saigon_Prince_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306204-Reviews-Saigon_Prince_Hotel-Ho_Chi_Minh_City.html,Khách sạn Sài Gòn Prince,,4.0,1748.0,2.105.263 ₫ - 5.894.737 ₫,"63 Nguyễn Huệ District 1, Thành phố Hồ Chí Minh, 70000, Việt Nam",,"Thành phố, công tác"
Scenic Valley Suite,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19175044-Reviews-Scenic_Valley_Suite-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19175044-Reviews-Scenic_Valley_Suite-Ho_Chi_Minh_City.html,Scenic Valley Suite,,4.0,4.0,1.368.421 ₫ - 2.763.158 ₫,"Block F, Scenic Valley 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
72. Khách sạn Paragon Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d637378-Reviews-Paragon_Saigon_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d637378-Reviews-Paragon_Saigon_Hotel-Ho_Chi_Minh_City.html,Khách sạn Paragon Sài Gòn,,4.0,1070.0,2.000.000 ₫ - 5.394.737 ₫,"22-24 Thi Sách, P. Bến Nghé, Q.1, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bàn làm việc, Bãi đỗ xe riêng trả phí ở gần, Bể bơi trên sân thượng, Có ghế ăn cho bé, Dịch vụ phòng, Internet tốc độ miễn phí (WiFi), Két sắt, Mạng truyền hình dành cho trẻ em, Ngắm cảnh thành phố, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Phòng cách âm, Quầy bar / sảnh chờ, Quầy bar mini, Trung tâm thể dục thẩm mỹ, Truyền hình cáp / truyền hình vệ tinh, Vòi rửa vệ sinh, Xe đưa đón sân bay, Điều hòa nhiệt độ","Hạng trung, Ngắm cảnh, Phòng cách âm, Suite, Thành phố"
667. HomeAway Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23372515-Reviews-HomeAway_Homestay-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23372515-Reviews-HomeAway_Homestay-Ho_Chi_Minh_City.html,HomeAway Homestay,,4.0,1.0,447.368 ₫ - 1.026.316 ₫,"38 Do Quang Dau Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 71012, Việt Nam",,"Thành phố, ban công, minibar"
696. Sai Gon River Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13001188-Reviews-Sai_Gon_River_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13001188-Reviews-Sai_Gon_River_Hotel-Ho_Chi_Minh_City.html,Sai Gon River Hotel,,4.0,1.0,315.789 ₫ - 526.316 ₫,"35/8, Street 19, Binh An Ward, District 2, Thành phố Hồ Chí Minh, 70000, Việt Nam",,Thành phố
676. Co Homestay Sai Gon Center,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d25421828-Reviews-Co_Homestay_Sai_Gon_Center-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d25421828-Reviews-Co_Homestay_Sai_Gon_Center-Ho_Chi_Minh_City.html,Co Homestay Sai Gon Center,,4.0,1.0,578.947 ₫ - 1.052.632 ₫,"28/12A Tôn Thất Tùng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,Thành phố
678. U & Me Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3240061-Reviews-U_Me_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3240061-Reviews-U_Me_Hotel-Ho_Chi_Minh_City.html,U & Me Hotel,,4.0,2.0,447.368 ₫ - 552.632 ₫,"27-29, 5b Street Trung Son Apartment, Binh Hung Town, Binh Chanh District, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bàn làm việc, Bãi đỗ xe, Bồn tắm / vòi sen, Cho thuê xe đạp, Có phòng hút thuốc, Dịch vụ giặt là, Dịch vụ phòng, Internet tốc độ miễn phí (WiFi), Khu để hành lý, Nhân viên hỗ trợ tiền sảnh, Quầy bar mini, Tiếp tân 24 giờ, Wifi, Điều hòa nhiệt độ, Đồ dùng nhà tắm miễn phí",Thành phố
692. Minh Như Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d9985885-Reviews-Minh_Nhu_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d9985885-Reviews-Minh_Nhu_Hotel-Ho_Chi_Minh_City.html,Minh Như Hotel,,4.0,1.0,263.158 ₫ - 4.868.421 ₫,"56 Đồng Xoài, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, 70000, Việt Nam",,Thành phố
