Scenario,Hotel Name,Stars_Clean,District,Address,Room_Class,Room Type,Bed_Class,Bed Type,Final Price,Original Price,Discount %,Rating_Clean,Review Count,Location_Clean,Distance_KM,Free_Cancel_Bool,Breakfast_Bool,Badge_Clean,Adults,Children,Total_Guests,Check-in
Random_1A_2C_1R_Ages(1_2),Home Away Minh Khai - Serviced Apartment,3.0,Quận 3,"Quận 3, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi Có Ban Công,Double/Large,Phòng Deluxe Giường Đôi Có Ban Công,1054000,1054000,0.0,8.5,209.0,,1.4,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),My Home Guest House,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng Tiêu Chuẩn 3 Người,Double/Large,"2 giường (1 giường đơn, 1 giường đôi)",550000,550000,0.0,8.5,382.0,9.3,1.2,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Ailen Hotel,2.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Presidential/Suite,Suite Gia đình nhìn ra Thành phố,Double/Large,2 giường đôi lớn,1176826,2179307,46.0,7.7,97.0,,1.3,0,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Phung Long Hotel,1.0,Quận Tân,"Quận Tân Bình, TP. Hồ Chí Minh",Standard/Superior,Phòng 3 Người,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",900000,900000,0.0,3.0,1.0,,4.9,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Rivergate Residence Central,4.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (1 giường sofa, 2 giường đôi lớn)",2088000,6525000,68.0,6.7,39.0,,1.3,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),BOB Saigon Hotel,2.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Family/Large,Phòng Deluxe Gia đình,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",972300,1389000,30.0,7.7,13.0,9.4,1.5,1,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Heart of Saigon Stay 2 Cozy Central Saigon Stay,0.0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",552117,552117,0.0,,,,2.1,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Chez Mimosa Homestay,0.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Có Giường Cỡ Queen,Double/Large,1 giường đôi lớn,1152000,2400000,52.0,9.3,251.0,9.4,1.4,1,1,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),BA TAM VU SUA Homestay,0.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Family/Large,Studio Gia Đình,Double/Large,2 giường đôi lớn,1577898,1577898,0.0,9.1,156.0,9.3,2.3,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),S79 Saigon Garden Hotel & Spa,3.0,Quận 10,"Quận 10, TP. Hồ Chí Minh",Standard/Superior,Phòng Tiêu Chuẩn Có Giường Cỡ Queen,Double/Large,Phòng Tiêu Chuẩn Có Giường Cỡ Queen,1295190,1295190,0.0,6.9,7.0,,3.1,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Myfriend Hostel,3.0,Quận 5,"Quận 5, TP. Hồ Chí Minh",Family/Large,Phòng Gia Đình Tiêu Chuẩn,Double/Large,3 giường đôi lớn,768000,1200000,36.0,8.3,85.0,,3.0,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Stockholm Apartment,4.0,Quận Phú,"Quận Phú Nhuận, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ Áp Mái,Double/Large,"3 giường (2 giường đôi rất lớn, 1 giường sofa)",1112400,1390500,20.0,8.9,122.0,,2.8,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),123 Apartment in Vinhomes Central Park - Airport pickup & Tours,3.0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",1989000,1989000,0.0,6.2,9.0,,3.2,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),ZVillage LHK - Joyfull hostel near Bui Vien,0.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi Có Ban Công,Double/Large,Phòng Deluxe Giường Đôi Có Ban Công,875000,1250000,30.0,8.1,103.0,,1.5,0,0,No Deal,1,2,3,12/17/2025
