hotel_name,hotel_url,detail_url,name_detail,phone,ratingValue,reviewCount,priceRange,address,amenities,room_types
9. Silverland Sil Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2299912-Reviews-Silverland_Sil_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2299912-Reviews-Silverland_Sil_Hotel-Ho_Chi_Minh_City.html,Silverland Sil Hotel,,4.9,352.0,2.105.263 ₫ - 4.342.105 ₫,"20 - 22 - 24 Thái Văn Lung Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,"Công tác, Thành phố"
10. Eden Star Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3673303-Reviews-Eden_Star_Saigon_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3673303-Reviews-Eden_Star_Saigon_Hotel-Ho_Chi_Minh_City.html,Eden Star Saigon Hotel,,4.2,2300.0,2.052.632 ₫ - 5.447.368 ₫,"38 Bùi Thị Xuân Ben Thanh Ward, District 1, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bãi đỗ xe, Bữa sáng miễn phí, Bể bơi, Dịch vụ phòng, Dọn phòng, Internet tốc độ miễn phí (WiFi), Két sắt, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Phòng cô dâu, Quầy bar mini, TV màn hình phẳng, Tiện nghi cho hội nghị, Tiện nghi phòng VIP, Trung tâm thương mại có truy cập Internet, Trung tâm thể dục thẩm mỹ, Xe đưa đón sân bay, Điều hòa nhiệt độ","Hạng trung, Suite, Thành phố"
Hotel Indigo Saigon the City by IHG,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26848304-Reviews-Hotel_Indigo_Saigon_the_City_by_IHG-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26848304-Reviews-Hotel_Indigo_Saigon_the_City_by_IHG-Ho_Chi_Minh_City.html,Hotel Indigo Saigon the City by IHG,120852336.0,4.9,190.0,4.289.474 ₫ - 9.078.947 ₫,"9 - 11 Ly Tu Trong Street Saigon Ward, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
11. Silverland Mây Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26244341-Reviews-Silverland_May_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26244341-Reviews-Silverland_May_Hotel-Ho_Chi_Minh_City.html,Silverland Mây Hotel,,4.9,1192.0,3.000.000 ₫ - 7.394.737 ₫,"28 - 30 Thi Sách Ben Nghe Ward, District 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
12. Liberty Central Saigon Riverside Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d4474103-Reviews-Liberty_Central_Saigon_Riverside_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d4474103-Reviews-Liberty_Central_Saigon_Riverside_Hotel-Ho_Chi_Minh_City.html,Liberty Central Saigon Riverside Hotel,,4.6,3484.0,2.368.421 ₫ - 5.078.947 ₫,"17 Ton Duc Thang Street, Dist 1, Thành phố Hồ Chí Minh, 70000, Việt Nam",,"Ngắm cảnh, Thành phố, sông"
13. T-Ritz Saigon Hotel & Apartment,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d14758801-Reviews-T_Ritz_Saigon_Hotel_Apartment-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d14758801-Reviews-T_Ritz_Saigon_Hotel_Apartment-Ho_Chi_Minh_City.html,T-Ritz Saigon Hotel & Apartment,2837366666.0,4.5,234.0,1.973.684 ₫ - 4.500.000 ₫,"20-22 Phạm Ngọc Thạch Xuan Hoa Ward, Thành phố Hồ Chí Minh, 700000, Việt Nam",,"Hạng trung, Thành phố"
14. Ace Hotel Ben Thanh,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12245943-Reviews-Ace_Hotel_Ben_Thanh-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12245943-Reviews-Ace_Hotel_Ben_Thanh-Ho_Chi_Minh_City.html,Ace Hotel Ben Thanh,,3.4,61.0,421.053 ₫ - 868.421 ₫,"100 Ly Tu Trong Ben Thanh Ward, District 1, Thành phố Hồ Chí Minh, 72000, Việt Nam","Bữa sáng miễn phí, Các hoạt động cho trẻ em (Phù hợp với trẻ em / gia đình), Internet, Internet tốc độ miễn phí (WiFi), Khách sạn không hút thuốc, Phòng không hút thuốc, Điều hòa nhiệt độ","Công tác, Thành phố"
15. M Hotel Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15618314-Reviews-M_Hotel_Saigon-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15618314-Reviews-M_Hotel_Saigon-Ho_Chi_Minh_City.html,M Hotel Saigon,,4.6,271.0,2.184.211 ₫ - 7.026.316 ₫,"39 Ton That Thiep Street Saigon Ward, Thành phố Hồ Chí Minh, 700000, Việt Nam",,"Công tác, Thành phố"
16. President Maison Signature By M Village,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d30716785-Reviews-President_Maison_Signature_By_M_Village-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d30716785-Reviews-President_Maison_Signature_By_M_Village-Ho_Chi_Minh_City.html,President Maison Signature By M Village,,5.0,308.0,3.394.737 ₫ - 7.473.684 ₫,"33 Tu Xuong District 3, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bể bơi, Bồn tắm / vòi sen, Dịch vụ giặt là, Dọn phòng, Giặt khô, Internet tốc độ miễn phí (WiFi), Khu để hành lý, Két sắt, Máy pha cà phê / trà, Nhân viên hỗ trợ tiền sảnh, Nước đóng chai, Phòng không hút thuốc, Phòng Suite, Quầy bar mini, Trà miễn phí, Xe đưa đón sân bay, Áo choàng tắm, Điều hòa nhiệt độ","Suite, Thành phố"
18. Signature By M Village Le Thanh Ton,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26506936-Reviews-Signature_By_M_Village_Le_Thanh_Ton-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26506936-Reviews-Signature_By_M_Village_Le_Thanh_Ton-Ho_Chi_Minh_City.html,Signature By M Village Le Thanh Ton,,4.9,656.0,2.947.368 ₫ - 6.000.000 ₫,"24 Le Thanh Ton, Ben Nghe Ward, District 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
