Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge,room_class,lr_room_class,lr_conf,is_misaligned
0.180733895,0.571428571,0.411764706,0.065645136,0.079452055,0.441176471,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0.8884078332316652,False
0.136461917,0.857142857,0.191176471,0.089035611,0.023483366,0.470588235,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,5,0.5244650522368179,False
0.064103003,0.0,0.308823529,0.029581887,0.356164384,0.823529412,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,2,2,0.3619156490485426,False
0.496701922,0.571428571,0.352941176,0.204058465,0.068493151,0.764705882,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0.9172271023549742,False
0.135629972,0.428571429,0.264705882,0.06999611,0.068493151,0.470588235,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2,1,0.38470734151945496,False
0.013875653,0.142857143,0.529411765,0.004189832,0.273972603,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,5,2,0.3297624225256183,False
0.051394267,0.285714286,0.352941176,0.021379558,0.123287671,0.617647059,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0.7364999192142238,False
0.129759829,0.571428571,0.176470588,0.08941671,0.035616438,0.558823529,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,5,5,0.41785626822074484,False
0.093878832,0.428571429,0.323529412,0.041601912,0.082191781,0.588235294,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,5,0,0.39264603032659534,False
0.273005413,0.428571429,0.279411765,0.134810777,0.071917808,0.441176471,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0.9403560859819293,False
0.090108771,0.571428571,0.294117647,0.043041084,0.057534247,0.441176471,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0.6334685369208023,False
0.025958653,0.142857143,0.720588235,0.00583084,0.363013699,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.7795709300828777,False
0.077663349,0.571428571,0.176470588,0.05379741,0.035616438,0.441176471,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,3,3,0.8827476111677572,False
0.038962397,0.428571429,0.426470588,0.013910211,0.106164384,0.970588235,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,3,3,0.43705971300698626,False
0.065531755,0.428571429,0.294117647,0.031407721,0.075342466,0.764705882,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,2,0,0.4213303758255501,False
0.018844752,0.142857143,0.794117647,0.003860244,0.397260274,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5809921993264067,False
0.48099001,0.0,0.308823529,0.219603979,0.356164384,0.411764706,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0.9923829286699868,False
0.028800695,0.142857143,0.279411765,0.014594426,0.157534247,0.735294118,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0.7666414547888979,False
0.016424174,0.142857143,0.147058824,0.013456253,0.095890411,0.441176471,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5,5,0.6519432544619755,False
0.559323859,0.571428571,0.455882353,0.18622415,0.087671233,0.470588235,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0.991012797599964,False
